id,uid,pid,suggestion_id,starttime,endtime,status
46,6929,16,1,2014-12-01 00:00:00,2014-12-01 00:00:00,1
48,7632,18,1,2014-12-01 08:30:00,2014-12-01 00:00:00,1
49,7632,18,1,2014-12-01 08:30:00,2014-12-01 00:00:00,1
51,7632,18,1,2014-12-01 08:30:00,2014-12-01 00:00:00,1
53,7632,18,1,2014-12-01 08:30:00,2014-12-01 00:00:00,1
54,7632,18,1,2014-12-01 00:00:00,2014-12-01 00:00:00,1
58,9757,24,1,2014-12-01 18:00:00,2014-12-01 18:40:00,2
59,1865,25,1,2014-12-01 14:00:00,2014-12-01 14:50:00,1
60,1865,25,1,2014-12-01 14:00:00,2014-12-01 14:50:00,1
61,1865,25,1,2014-12-01 14:00:00,2014-12-01 14:50:00,1
62,1865,25,1,2014-12-01 14:00:00,2014-12-01 14:50:00,1
63,1865,25,5,2014-12-01 14:00:00,2014-12-01 14:50:00,1
74,3268,30,1,2014-12-05 20:00:00,2014-12-05 20:50:00,2
75,3268,30,1,2014-12-05 20:00:00,2014-12-05 20:50:00,1
76,3268,30,1,2014-12-05 20:00:00,2014-12-05 20:50:00,1
77,3268,30,1,2014-12-05 20:00:00,2014-12-05 20:50:00,1
78,3268,30,1,2014-12-05 20:00:00,2014-12-05 20:50:00,1
79,3268,30,5,2014-12-05 20:00:00,2014-12-05 20:50:00,1
80,9252,31,1,2014-12-05 18:00:00,2014-12-05 18:50:00,1
82,357,33,1,2014-12-05 14:30:00,2014-12-05 14:40:00,1
89,8904,36,1,2014-12-05 00:00:00,2014-12-05 00:00:00,1
97,6929,16,1,2014-12-07 10:00:00,2014-12-07 11:00:00,1
100,6864,39,1,2014-12-08 09:00:00,2014-12-08 09:50:00,2
101,6864,39,1,2014-12-08 09:00:00,2014-12-08 09:49:00,2
102,6864,39,1,2014-12-08 09:00:00,2014-12-08 09:50:00,2
110,1326,43,5,2014-12-08 00:00:00,2014-12-08 00:00:00,1
113,5674,46,1,2014-12-08 14:00:00,2014-12-08 14:50:00,2
114,10195,47,1,2014-12-08 16:00:00,2014-12-08 16:59:00,2
118,4589,49,1,2014-12-08 20:00:00,2014-12-08 20:50:00,2
121,9757,24,5,2014-12-11 00:00:00,2014-12-11 00:00:00,1
122,4547,51,1,2014-12-09 00:00:00,2014-12-09 00:00:00,1
132,10485,53,1,2014-12-10 00:00:00,2014-12-10 00:00:00,1
135,9691,55,1,2014-12-10 00:00:00,2014-12-10 00:00:00,1
137,8239,57,1,2014-12-10 00:00:00,2014-12-10 00:00:00,1
138,6929,16,1,2014-12-10 10:00:00,2014-12-10 11:00:00,1
151,10057,63,1,2014-12-10 16:30:00,2014-12-10 16:50:00,1
152,9175,64,1,2014-12-10 00:00:00,2014-12-10 00:00:00,1
155,329,66,1,2014-12-10 00:00:19,2014-12-10 00:00:19,1
156,329,66,1,2014-12-10 00:00:19,2014-12-10 00:00:19,1
157,329,66,1,2014-12-10 00:00:19,2014-12-10 00:00:19,1
158,329,66,1,2014-12-10 00:00:19,2014-12-10 00:00:19,1
159,329,66,1,2014-12-10 00:00:19,2014-12-10 00:00:19,1
160,329,66,1,2014-12-10 00:00:19,2014-12-10 00:00:19,1
161,329,66,1,2014-12-10 00:00:19,2014-12-10 00:00:19,1
163,2548,68,1,2014-12-11 15:00:00,2014-12-11 15:50:00,1
164,2548,68,1,2014-12-11 15:00:00,2014-12-11 15:50:00,1
165,2548,68,1,2014-12-11 15:00:00,2014-12-11 15:50:00,1
166,9176,69,1,2014-12-11 14:00:00,2014-12-11 14:50:00,1
167,9176,69,1,2014-12-11 14:00:00,2014-12-11 14:50:00,1
168,9176,69,1,2014-12-11 14:00:00,2014-12-11 14:50:00,0
169,9176,69,1,2014-12-11 14:00:00,2014-12-11 14:50:00,0
170,9176,69,1,2014-12-11 14:00:00,2014-12-11 14:50:00,1
175,9176,69,1,2014-12-11 16:00:00,2014-12-11 16:50:00,1
181,10384,72,1,2014-12-11 00:00:00,2014-12-11 00:00:00,1
183,5809,74,5,2014-12-11 00:00:00,2014-12-11 00:00:00,1
186,5174,76,1,2014-12-11 18:00:00,2014-12-11 00:00:18,1
187,5174,76,1,2014-12-11 18:00:00,2014-12-11 18:50:00,1
188,10657,77,1,2014-12-11 00:00:00,2014-12-11 00:00:00,1
190,5174,76,1,2014-12-11 18:00:00,2014-12-11 18:50:00,1
191,5174,76,1,2014-12-11 18:00:00,2014-12-11 18:50:00,1
192,4470,78,1,2014-12-11 00:00:00,2014-12-11 00:00:00,1
193,5174,76,1,2014-12-11 18:00:00,2014-12-11 00:00:18,1
195,5174,76,5,2014-12-11 00:00:18,2014-12-11 18:50:00,1
204,9183,83,1,2014-12-11 00:00:00,2014-12-11 00:00:00,1
205,359,84,1,2014-12-11 00:00:00,2014-12-11 00:00:00,1
206,358,85,1,2014-12-11 00:00:00,2014-12-11 00:00:00,1
207,329,66,1,2014-12-11 19:00:00,2014-12-11 19:50:00,2
210,10195,47,1,2014-12-11 00:00:16,2014-12-11 00:00:16,1
213,4610,87,1,2014-12-11 18:00:00,2014-12-11 18:50:00,2
218,10762,92,1,2014-12-13 20:00:00,2014-12-13 20:50:00,2
219,9110,93,1,2014-12-13 18:00:00,2014-12-13 18:50:00,1
220,9110,93,1,2014-12-13 18:00:00,2014-12-13 18:50:00,1
221,6864,39,1,2014-12-15 09:00:00,2014-12-15 09:00:00,1
222,9328,94,1,2014-12-15 19:00:00,2014-12-15 19:50:00,0
228,10488,96,1,2014-12-15 16:00:00,2014-12-15 16:50:00,1
238,6990,101,1,2014-12-15 00:00:00,2014-12-15 00:00:00,1
243,329,66,1,2014-12-15 19:00:00,2014-12-15 19:50:00,2
246,5184,103,1,2014-12-16 08:30:00,2014-12-16 09:20:00,2
247,5184,103,1,2014-12-16 08:30:00,2014-12-16 09:20:00,2
249,5184,103,1,2014-12-16 08:30:00,2014-12-16 09:20:00,2
250,5184,103,1,2014-12-16 08:30:00,2014-12-16 09:20:00,2
253,9597,106,1,2014-12-16 09:50:00,2014-12-16 10:20:00,1
256,9597,106,1,2014-12-16 09:30:00,2014-12-16 10:20:00,1
257,9597,106,1,2014-12-16 09:34:00,2014-12-16 10:20:00,1
258,9597,106,1,2014-12-16 09:40:00,2014-12-16 10:20:00,1
259,9597,106,1,2014-12-16 00:00:00,2014-12-16 00:00:00,1
260,9597,106,5,2014-12-16 09:33:00,2014-12-16 10:25:00,1
261,360,107,1,2014-12-16 09:30:00,2014-12-16 10:20:00,1
262,360,107,1,2014-12-16 09:30:00,2014-12-16 10:20:00,1
263,360,107,1,2014-12-16 09:30:00,2014-12-16 10:20:00,1
264,360,107,1,2014-12-16 09:30:00,2014-12-16 10:20:00,1
266,3238,109,1,2014-12-16 08:30:00,2014-12-16 09:20:00,1
268,3238,109,1,2014-12-16 08:30:00,2014-12-16 09:20:00,1
269,3238,109,1,2014-12-16 08:31:00,2014-12-16 09:20:00,1
270,3238,109,1,2014-12-16 08:30:00,2014-12-16 09:20:00,1
271,10195,47,1,2014-12-16 16:00:00,2014-12-16 17:00:00,2
273,3171,111,1,2014-12-16 16:00:00,2014-12-16 16:50:00,0
278,5258,112,1,2014-12-17 18:30:00,2014-12-17 19:20:00,1
279,5258,112,1,2014-12-17 09:30:00,2014-12-17 10:20:00,1
280,5258,112,1,2014-12-17 09:30:00,2014-12-17 10:20:00,1
288,5258,112,1,2014-12-17 09:30:00,2014-12-17 10:20:00,1
289,5258,112,1,2014-12-17 09:30:00,2014-12-17 10:20:00,1
294,3238,109,1,2014-12-17 08:35:00,2014-12-17 09:20:00,1
296,3309,118,1,2014-12-17 16:00:00,2014-12-17 17:00:00,0
312,9176,69,1,2014-12-18 14:00:00,2014-12-18 14:50:00,1
331,2548,68,1,2014-12-18 15:00:00,2014-12-18 15:50:00,1
348,1253,123,1,2014-12-18 18:10:00,2014-12-18 18:55:00,1
349,802,124,1,2014-12-18 20:00:00,2014-12-18 20:40:00,1
351,3171,111,1,2014-12-18 16:00:00,2014-12-18 16:50:00,1
353,8904,36,1,2014-12-19 16:00:00,2014-12-19 16:00:00,1
354,8904,36,1,2014-12-19 16:00:00,2014-12-19 16:00:00,1
355,1883,125,1,2014-12-19 00:00:00,2014-12-19 00:00:00,2
356,134,126,1,2014-12-19 00:00:00,2014-12-19 00:00:00,2
360,4610,87,1,2014-12-22 18:00:00,2014-12-22 19:00:00,2
366,360,107,1,2014-12-23 09:30:00,2014-12-23 10:20:00,2
368,3238,109,5,2014-12-23 08:30:00,2014-12-23 09:30:00,2
375,8934,135,1,2014-12-23 18:00:00,2014-12-23 18:50:00,1
377,10762,92,1,2014-12-23 20:00:00,2014-12-23 20:50:00,1
378,2778,136,5,2014-12-23 18:00:00,2014-12-23 18:50:00,1
379,5258,112,1,2014-12-23 09:32:00,2014-12-23 10:20:00,2
390,5063,141,1,2014-12-24 00:00:00,2014-12-24 00:00:00,2
391,5063,141,1,2014-12-24 00:00:00,2014-12-24 00:00:00,2
392,5063,141,1,2014-12-24 00:00:00,2014-12-24 00:00:00,2
393,5063,141,1,2014-12-24 00:00:00,2014-12-24 00:00:00,2
394,5063,141,1,2014-12-24 00:00:00,2014-12-24 00:00:00,1
395,5063,141,1,2014-12-24 00:00:00,2014-12-24 00:00:00,1
400,6946,143,1,2014-12-24 00:00:00,2014-12-24 00:00:00,2
418,9501,147,1,2014-12-24 18:00:00,2014-12-24 18:50:00,1
422,3171,111,1,2014-12-25 16:00:00,2014-12-25 16:50:00,1
429,9176,69,5,2014-12-25 14:00:00,2014-12-25 14:55:00,1
430,2548,68,1,2014-12-25 15:00:00,2014-12-25 15:55:00,1
433,5184,103,1,2014-12-25 08:30:00,2014-12-25 09:20:00,2
436,1253,123,1,2014-12-25 11:00:00,2014-12-25 12:00:00,1
437,329,66,1,2014-12-25 00:00:19,2014-12-25 00:00:19,2
440,1294,153,1,2014-12-26 00:00:00,2014-12-26 00:00:00,2
441,6809,154,1,2014-12-29 00:00:00,2014-12-29 00:00:00,2
442,1883,125,1,2014-12-29 00:00:00,2014-12-29 00:00:00,2
445,7632,156,1,2014-12-29 00:00:00,2014-12-29 00:00:00,2
448,4610,87,1,2014-12-29 18:00:00,2014-12-29 19:00:00,2
450,5258,112,1,2014-12-29 09:55:00,2014-12-29 10:20:00,2
452,5077,157,1,2014-12-29 00:00:00,2014-12-29 00:00:00,2
453,5077,157,1,2014-12-29 00:00:00,2014-12-29 00:00:00,2
454,5077,157,1,2014-12-29 00:00:00,2014-12-29 00:00:00,2
455,5077,157,1,2014-12-29 00:00:00,2014-12-29 00:00:00,2
456,5077,157,1,2014-12-29 00:00:00,2014-12-29 00:00:00,2
457,5077,157,1,2014-12-29 00:00:00,2014-12-29 00:00:00,2
458,5077,157,5,2014-12-29 00:00:00,2014-12-29 00:00:00,2
462,2519,159,1,2014-12-29 00:00:00,2014-12-29 00:00:00,2
466,9501,147,1,2014-12-29 18:00:00,2014-12-29 18:50:00,2
474,9175,64,1,2014-12-30 18:00:00,2014-12-30 18:50:00,1
476,10762,92,5,2014-12-30 20:00:00,2014-12-30 20:50:00,1
477,360,107,5,2014-12-30 09:30:00,2014-12-30 10:20:00,2
478,10195,47,1,2014-12-30 16:00:00,2014-12-30 17:00:00,2
494,8500,167,1,2014-12-31 00:00:00,2014-12-31 00:00:00,2
501,1752,169,1,2014-12-31 00:00:00,2014-12-31 00:00:00,2
508,3171,111,1,2015-01-01 16:00:00,2015-01-01 16:50:00,2
509,2523,172,1,2015-01-02 09:30:00,2015-01-02 10:25:00,2
512,5184,103,5,2015-01-02 08:29:00,2015-01-02 09:18:00,2
513,2523,172,1,2015-01-02 09:30:00,2015-01-02 10:25:00,2
514,2523,172,1,2015-01-02 09:30:00,2015-01-02 10:25:00,2
515,2523,172,1,2015-01-02 09:30:00,2015-01-02 10:25:00,2
517,2523,172,1,2015-01-02 09:30:00,2015-01-02 10:25:00,2
518,2523,172,5,2015-01-02 09:30:00,2015-01-02 10:25:00,2
