id,sid,interview_type,date,type1,type2,type3,suggestion,submitTime,status
367,66711,0,2015-09-10 09:17:00,63,77,104,1,2015-09-16 16:19:50,1
368,62806,0,2015-09-10 10:20:00,63,77,104,1,2015-09-16 16:22:43,1
369,63978,0,2015-09-10 11:24:00,54,83,104,5,2015-09-16 16:25:45,1
372,59084,0,2015-09-22 14:30:00,53,104,104,5,2015-09-22 15:02:11,1
373,60541,0,2015-09-22 13:30:00,63,104,95,1,2015-09-22 15:23:39,1
374,66316,0,2015-09-23 14:10:00,63,74,95,2,2015-09-23 17:29:09,1
375,61891,0,2015-09-13 18:42:00,63,104,104,1,2015-09-23 18:43:52,1
376,68297,0,2015-09-23 19:43:00,63,74,94,4,2015-09-23 19:46:08,1
377,62979,0,2015-09-23 18:00:00,63,104,104,1,2015-09-23 21:41:54,1
378,62224,0,2015-09-24 09:29:00,53,104,104,5,2015-09-24 09:35:39,1
379,62400,0,2015-09-23 13:30:00,60,104,104,1,2015-09-24 09:36:35,1
380,65907,0,2015-09-23 14:00:00,60,104,104,5,2015-09-24 09:39:41,1
381,65625,0,2015-09-23 14:30:00,104,104,104,5,2015-09-24 09:46:41,1
382,61837,0,2015-09-23 15:30:00,104,104,104,5,2015-09-24 09:50:05,1
383,67267,0,2015-09-24 09:57:00,53,104,104,5,2015-09-24 09:58:09,1
384,63467,0,2015-09-24 09:58:00,53,104,104,5,2015-09-24 10:00:16,1
385,62224,0,2015-09-24 10:02:00,53,104,104,5,2015-09-24 10:03:45,1
386,63581,0,2015-09-24 11:00:00,53,104,104,5,2015-09-24 11:05:26,1
388,66711,0,2015-09-24 10:45:00,53,104,104,1,2015-09-24 12:42:14,1
389,62388,0,2015-09-24 15:16:00,53,104,104,5,2015-09-24 15:18:40,1
390,63140,0,2015-09-23 19:00:00,53,104,104,4,2015-09-24 16:07:48,1
391,67756,0,2015-09-23 18:30:00,104,104,104,5,2015-09-24 16:12:59,1
392,62763,0,2015-09-23 19:00:00,63,104,104,4,2015-09-24 16:36:30,1
393,65116,0,2015-09-23 18:00:00,53,104,103,4,2015-09-24 16:52:31,1
394,62665,0,2015-09-25 09:18:00,104,104,104,5,2015-09-25 09:22:45,1
396,64368,0,2015-09-25 09:00:00,63,104,95,4,2015-09-25 09:42:51,1
397,59562,0,2015-09-25 10:10:00,104,104,104,5,2015-09-25 10:14:35,1
398,66797,0,2015-09-25 09:30:00,104,74,104,5,2015-09-25 10:21:29,1
399,66741,0,2015-09-25 10:20:00,65,104,104,5,2015-09-25 11:05:23,1
400,63436,0,2015-09-25 11:18:00,104,104,104,5,2015-09-25 11:20:50,1
401,60042,0,2015-09-25 09:00:00,104,104,104,5,2015-09-25 11:43:47,1
402,64825,0,2015-09-25 09:30:00,54,104,104,5,2015-09-25 11:48:23,1
403,61488,0,2015-09-25 11:00:00,104,104,104,5,2015-09-25 11:52:57,1
404,68494,0,2015-09-25 11:00:00,65,104,104,5,2015-09-25 12:05:36,1
405,63196,0,2015-09-25 10:20:00,53,104,104,1,2015-09-25 13:27:12,1
406,59109,0,2015-09-25 11:15:00,63,73,95,4,2015-09-25 13:31:29,1
407,60693,0,2015-09-25 14:20:00,65,104,104,4,2015-09-25 14:24:04,1
408,59507,0,2015-09-25 14:45:00,63,104,104,4,2015-09-25 14:51:13,1
409,66589,0,2015-09-23 15:01:00,54,93,95,1,2015-09-25 15:16:16,1
410,60668,0,2015-09-23 19:00:00,63,93,95,1,2015-09-25 15:25:57,1
411,68624,0,2015-09-25 16:01:00,104,104,104,4,2015-09-25 16:08:18,1
412,59912,0,2015-09-25 19:00:00,65,104,104,5,2015-09-25 19:06:40,1
413,68460,0,2015-09-25 18:30:00,63,104,104,1,2015-09-25 19:08:02,1
414,65236,0,2015-09-25 19:44:00,65,66,103,1,2015-09-25 19:51:09,1
415,63803,0,2015-09-25 19:57:00,54,104,95,4,2015-09-25 19:59:59,1
416,66008,0,2015-09-28 15:00:00,104,104,104,5,2015-09-28 15:37:55,1
417,62430,0,2015-09-29 13:40:00,63,104,104,5,2015-09-29 14:41:25,1
418,68222,0,2015-09-23 19:30:00,53,93,103,1,2015-10-01 19:25:59,1
419,61988,0,2015-09-23 19:00:00,65,104,104,4,2015-10-01 19:38:23,1
422,67832,0,2015-10-12 08:57:00,63,104,104,5,2015-10-12 11:02:08,1
423,67645,0,2015-10-12 09:58:00,65,104,104,5,2015-10-12 13:01:47,1
424,68151,0,2015-10-12 11:00:00,65,104,104,5,2015-10-12 13:04:20,1
425,60781,0,2015-10-12 15:25:00,54,104,104,4,2015-10-12 15:53:46,1
426,65139,0,2015-10-12 13:30:00,63,104,103,4,2015-10-12 15:59:05,1
427,65556,0,2015-10-12 14:10:00,63,104,103,4,2015-10-12 16:06:38,1
428,60852,0,2015-10-12 15:10:00,104,104,104,5,2015-10-12 16:10:08,1
429,60393,0,2015-10-12 15:30:00,65,104,104,5,2015-10-12 16:10:34,1
430,66929,0,2015-10-12 15:44:00,65,104,104,5,2015-10-12 17:01:34,1
431,59449,0,2015-10-12 13:39:00,65,104,104,5,2015-10-12 17:13:41,1
432,61926,0,2015-10-12 14:12:00,54,104,104,5,2015-10-12 17:25:47,1
433,63169,0,2015-10-12 15:25:00,54,104,104,5,2015-10-12 17:36:58,1
434,66905,0,2015-10-13 09:14:00,104,104,104,5,2015-10-13 09:16:10,1
435,67746,0,2015-10-13 09:38:00,104,104,104,5,2015-10-13 10:05:13,1
436,64391,0,2015-10-13 11:02:00,104,104,104,5,2015-10-13 11:11:28,1
438,60573,0,2015-10-13 14:00:00,53,104,104,5,2015-10-13 14:24:15,1
439,61856,0,2015-10-13 14:15:00,63,104,104,5,2015-10-13 14:36:08,1
440,62769,0,2015-10-13 15:20:00,53,104,104,5,2015-10-13 15:49:59,1
441,67322,0,2015-10-13 16:00:00,53,104,94,4,2015-10-13 16:46:03,1
442,60905,0,2015-10-13 16:40:00,54,104,104,4,2015-10-13 17:19:03,1
443,60864,0,2015-10-14 09:51:00,61,74,104,1,2015-10-14 09:54:18,1
444,67173,0,2015-10-14 09:54:00,53,74,104,1,2015-10-14 09:56:51,1
445,59690,0,2015-10-14 10:14:00,54,93,104,1,2015-10-14 10:16:25,1
446,60001,0,2015-10-14 10:29:00,53,85,104,1,2015-10-14 10:30:15,1
447,63026,0,2015-10-14 10:37:00,104,104,104,4,2015-10-14 10:47:15,1
448,59080,0,2015-10-14 11:05:00,104,104,104,5,2015-10-14 11:07:47,1
449,62153,0,2015-10-14 11:13:00,53,104,104,1,2015-10-14 11:16:49,1
450,63282,0,2015-10-14 13:36:00,104,104,104,4,2015-10-14 13:44:22,1
451,62634,0,2015-10-14 14:04:00,54,104,104,1,2015-10-14 14:06:07,1
452,66744,0,2015-10-14 14:10:00,53,74,95,2,2015-10-14 14:11:23,1
453,63500,0,2015-10-14 14:20:00,61,104,104,1,2015-10-14 14:22:35,1
454,68759,0,2015-10-14 14:37:00,104,104,104,5,2015-10-14 14:38:54,1
455,68765,0,2015-10-14 15:23:00,104,104,104,5,2015-10-14 15:25:34,1
456,60790,0,2015-10-14 15:50:00,65,104,104,1,2015-10-14 15:54:02,1
457,67025,0,2015-10-14 16:02:00,104,104,104,5,2015-10-14 16:04:37,1
458,65405,0,2015-10-14 16:24:00,65,104,104,1,2015-10-14 16:28:22,1
459,62979,0,2015-10-14 16:55:00,53,104,104,1,2015-10-14 16:56:38,1
460,65880,0,2015-10-14 10:10:00,53,66,104,1,2015-10-14 17:02:30,1
461,61085,0,2015-10-14 11:00:00,104,104,104,5,2015-10-14 17:37:40,1
462,65029,0,2015-10-14 18:00:00,61,104,104,4,2015-10-14 18:23:45,1
463,61405,0,2015-10-14 20:53:00,104,104,104,5,2015-10-14 20:57:29,1
464,60196,0,2015-10-14 21:01:00,104,104,104,5,2015-10-14 21:03:55,1
465,65027,0,2015-10-14 21:04:00,104,104,104,5,2015-10-14 21:06:33,1
466,68295,0,2015-10-14 21:06:00,61,104,104,4,2015-10-14 21:11:43,1
467,60199,0,2015-10-14 21:12:00,104,104,104,4,2015-10-14 21:22:55,1
468,67533,0,2015-10-14 21:25:00,104,104,104,5,2015-10-14 21:30:15,1
469,62376,0,2015-10-15 09:00:00,104,104,104,5,2015-10-15 09:28:57,1
470,69533,0,2015-09-23 09:00:00,104,104,104,5,2015-10-15 09:33:56,1
471,65071,0,2015-10-15 09:15:00,63,104,104,4,2015-10-15 09:59:22,1
472,59952,0,2015-10-15 09:35:00,104,99,104,5,2015-10-15 10:02:54,1
473,68866,0,2015-10-13 15:00:00,63,104,104,4,2015-10-15 10:42:59,1
474,69576,0,2015-10-13 14:00:00,53,104,104,1,2015-10-15 10:54:01,1
475,67040,0,2015-10-15 10:30:00,104,104,104,5,2015-10-15 11:01:34,1
476,69440,0,2015-09-29 14:00:00,53,104,104,5,2015-10-15 11:25:16,1
477,59304,0,2015-10-15 11:25:00,53,85,104,1,2015-10-15 11:47:52,1
478,67593,0,2015-10-14 16:18:00,54,104,104,1,2015-10-15 13:23:40,1
479,60318,0,2015-10-14 15:24:00,104,104,104,5,2015-10-15 13:26:02,1
480,68090,0,2015-10-15 14:00:00,53,93,95,1,2015-10-15 14:02:42,1
481,64360,0,2015-10-15 14:04:00,104,104,104,1,2015-10-15 14:05:13,1
482,64584,0,2015-10-15 11:30:00,64,104,104,4,2015-10-15 14:31:44,1
483,64106,0,2015-10-15 15:22:00,104,104,104,5,2015-10-15 15:24:23,1
484,60950,0,2015-10-15 15:33:00,104,104,104,5,2015-10-15 15:33:24,1
485,64984,0,2015-10-15 15:35:00,104,104,104,5,2015-10-15 15:36:06,1
486,68862,0,2015-10-15 15:39:00,53,93,103,4,2015-10-15 15:39:59,1
487,66264,0,2015-10-14 18:30:00,65,77,104,1,2015-10-15 15:40:15,1
488,61501,0,2015-10-14 19:00:00,56,77,104,1,2015-10-15 15:43:03,1
489,68823,0,2015-10-14 19:30:00,104,104,104,5,2015-10-15 15:45:17,1
490,67469,0,2015-10-14 20:00:00,61,92,104,1,2015-10-15 15:49:22,1
491,65675,0,2015-10-15 20:30:00,54,93,104,5,2015-10-15 15:52:36,1
492,61102,0,2015-09-17 15:49:00,53,104,104,1,2015-10-15 17:51:27,1
493,64553,0,2015-10-14 18:15:00,61,104,104,4,2015-10-15 20:37:25,1
494,64474,0,2015-10-14 00:00:00,63,73,104,1,2015-10-15 21:33:12,1
