id,uid,date,type1,type2,type3,zd0,zd1,zd2,submit_time,status
303,59067,2015-09-02,61,74,104,1,1,0,2015-09-02 16:23:09,1
312,65152,2015-09-07,54,104,104,1,1,1,2015-09-08 09:20:51,1
321,60182,2015-09-08,63,104,104,1,1,1,2015-09-08 17:13:19,1
323,60793,2015-09-09,54,74,95,0,0,0,2015-09-09 10:50:30,1
325,65526,2015-09-09,53,104,104,1,1,1,2015-09-09 19:39:25,1
328,66467,2015-09-09,62,104,104,1,1,1,2015-09-09 20:34:04,1
330,61170,2015-09-10,63,104,104,1,1,1,2015-09-10 15:54:57,1
331,61637,2015-09-10,61,104,104,1,1,1,2015-09-10 16:06:02,1
335,68594,2015-09-11,53,77,104,0,0,1,2015-09-11 15:00:42,1
340,68221,2015-09-15,61,104,104,1,1,1,2015-09-15 09:20:56,1
341,62044,2015-09-15,63,85,104,1,1,1,2015-09-15 09:39:27,1
343,63114,2015-09-14,63,104,104,1,1,1,2015-09-15 09:55:59,1
348,61101,2015-09-15,53,104,104,1,1,1,2015-09-15 11:38:14,1
351,60001,2015-09-15,63,104,104,1,1,1,2015-09-15 14:58:52,1
353,66541,2015-09-15,63,73,95,0,0,0,2015-09-15 17:19:02,1
354,64514,2015-09-15,61,104,104,1,1,1,2015-09-15 17:21:31,1
358,62421,2015-09-16,54,83,104,0,0,1,2015-09-16 09:32:06,1
360,64355,2015-09-16,61,83,104,0,1,1,2015-09-16 09:55:58,1
362,62479,2015-09-16,60,104,103,1,0,1,2015-09-16 11:09:17,1
367,60565,2015-09-16,63,104,104,1,1,1,2015-09-17 09:23:40,1
368,64879,2015-09-16,63,104,104,1,0,1,2015-09-17 09:28:19,1
371,59509,2015-09-18,65,104,104,1,1,1,2015-09-18 10:03:02,1
373,59584,2015-09-18,63,104,104,1,1,1,2015-09-18 11:04:52,1
376,59909,2015-09-18,53,104,104,0,1,1,2015-09-18 15:35:22,1
378,68421,2015-09-18,60,104,104,0,1,1,2015-09-18 17:13:48,1
379,65619,2015-09-18,53,104,104,0,0,1,2015-09-18 17:23:20,1
385,66711,2015-09-10,63,77,103,1,1,1,2015-09-21 17:03:18,1
386,62806,2015-09-10,53,83,104,1,1,1,2015-09-21 17:06:26,1
387,63978,2015-09-10,54,83,104,1,1,1,2015-09-21 17:08:19,1
390,65029,2015-09-22,61,104,104,1,1,1,2015-09-22 10:27:23,1
400,66426,2015-09-22,104,104,104,1,1,1,2015-09-22 16:37:33,1
412,65740,2015-09-23,53,104,104,1,1,1,2015-09-23 16:53:53,1
413,68417,2015-09-24,61,104,104,1,1,1,2015-09-24 14:13:27,1
414,65236,2015-09-24,65,70,95,0,0,0,2015-09-24 16:27:09,1
416,62744,2015-09-24,53,104,104,0,0,1,2015-09-24 16:41:12,1
420,66124,2015-09-17,53,104,104,1,1,1,2015-09-25 17:55:03,1
423,62865,2015-09-17,61,104,104,1,1,1,2015-09-25 19:15:37,1
425,65666,2015-09-25,63,104,104,1,1,1,2015-09-25 19:33:18,1
426,65587,2015-09-25,65,104,104,1,1,1,2015-09-25 19:36:40,1
427,59588,2015-09-25,65,104,104,1,1,1,2015-09-25 19:39:01,1
428,65583,2015-09-25,65,104,104,1,1,1,2015-09-25 19:41:50,1
