bdipoint,epqpoint,escale,pscale,nscale,lscale,fapoint,famarriage,faattachmentrelation,fafamilyfunction,fachildhoodtrauma,facopingstyle,fapastexperience,fasocialsupport,falifemeaning,falearningmotivation,gender,politicalstatus,religion,residence,fathereducation,mothereducation,brothersistercount,familyrank,parentsmarriage,marriage,isrecommended,isrecommendedbycontest,isartstudent,fathersta,mothersta
0.0,0.09805807,0.19611614,0.0,0.0,0.09805807,0.0,0.0,0.09805807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2941742,0.09805807,0.19611614,0.39223227,0.68640647,0.09805807,0.09805807,0.09805807,0.09805807,0.19611614,0.19611614,0.19611614,0.09805807,0.09805807
0.08873565,0.1774713,0.1774713,0.08873565,0.1774713,0.0,0.1774713,0.0,0.3549426,0.1774713,0.26620695,0.1774713,0.0,0.0,0.08873565,0.26620695,0.08873565,0.26620695,0.08873565,0.08873565,0.3549426,0.26620695,0.26620695,0.1774713,0.08873565,0.08873565,0.1774713,0.1774713,0.1774713,0.08873565,0.08873565
0.06311944,0.06311944,0.0,0.06311944,0.0,0.06311944,0.12623888,0.06311944,0.44183608,0.0,0.18935832,0.0,0.3155972,0.25247776,0.12623888,0.0,0.0,0.25247776,0.06311944,0.12623888,0.44183608,0.44183608,0.0,0.06311944,0.12623888,0.06311944,0.12623888,0.12623888,0.12623888,0.06311944,0.06311944
0.18898224,0.18898224,0.0,0.09449112,0.18898224,0.09449112,0.18898224,0.09449112,0.09449112,0.37796447,0.18898224,0.0,0.0,0.37796447,0.09449112,0.0,0.09449112,0.18898224,0.09449112,0.18898224,0.28347335,0.37796447,0.0,0.09449112,0.18898224,0.09449112,0.18898224,0.18898224,0.18898224,0.09449112,0.09449112
0.09805807,0.19611614,0.09805807,0.0,0.19611614,0.09805807,0.0,0.0,0.09805807,0.0,0.0,0.0,0.0,0.0,0.09805807,0.09805807,0.09805807,0.39223227,0.09805807,0.19611614,0.68640647,0.09805807,0.09805807,0.09805807,0.09805807,0.09805807,0.19611614,0.19611614,0.19611614,0.09805807,0.09805807
0.15075567,0.07537784,0.0,0.0,0.07537784,0.07537784,0.15075567,0.22613351,0.07537784,0.15075567,0.67840053,0.0,0.0,0.15075567,0.07537784,0.0,0.0,0.30151134,0.07537784,0.07537784,0.22613351,0.22613351,0.15075567,0.07537784,0.22613351,0.07537784,0.15075567,0.15075567,0.15075567,0.07537784,0.07537784
0.0,0.18650096,0.18650096,0.0,0.09325048,0.09325048,0.0,0.0,0.55950288,0.0,0.0,0.0,0.0,0.0,0.09325048,0.0,0.09325048,0.27975144,0.09325048,0.18650096,0.37300192,0.37300192,0.09325048,0.18650096,0.09325048,0.09325048,0.18650096,0.18650096,0.18650096,0.09325048,0.09325048
0.08804509,0.0,0.0,0.0,0.0,0.0,0.17609018,0.0,0.08804509,0.17609018,0.0,0.17609018,0.17609018,0.35218036,0.08804509,0.0,0.08804509,0.35218036,0.08804509,0.17609018,0.52827054,0.35218036,0.0,0.08804509,0.17609018,0.08804509,0.17609018,0.17609018,0.17609018,0.08804509,0.08804509
0.11396058,0.22792115,0.22792115,0.0,0.11396058,0.11396058,0.11396058,0.0,0.11396058,0.34188173,0.34188173,0.0,0.0,0.11396058,0.0,0.22792115,0.11396058,0.34188173,0.11396058,0.11396058,0.22792115,0.11396058,0.22792115,0.11396058,0.11396058,0.11396058,0.22792115,0.22792115,0.22792115,0.11396058,0.22792115
0.08111071,0.16222142,0.08111071,0.0,0.16222142,0.08111071,0.16222142,0.0,0.0,0.32444284,0.16222142,0.0,0.16222142,0.24333213,0.08111071,0.24333213,0.08111071,0.32444284,0.08111071,0.16222142,0.32444284,0.48666426,0.0,0.08111071,0.16222142,0.08111071,0.16222142,0.16222142,0.16222142,0.08111071,0.08111071
0.17474081,0.08737041,0.08737041,0.0,0.08737041,0.0,0.08737041,0.0,0.0,0.0,0.0,0.17474081,0.0,0.26211122,0.26211122,0.17474081,0.08737041,0.26211122,0.08737041,0.17474081,0.61159284,0.34948162,0.0,0.08737041,0.08737041,0.08737041,0.17474081,0.17474081,0.17474081,0.08737041,0.08737041
0.09245003,0.09245003,0.09245003,0.0,0.18490007,0.0,0.18490007,0.09245003,0.0,0.46225016,0.0,0.0,0.18490007,0.09245003,0.18490007,0.18490007,0.09245003,0.2773501,0.09245003,0.09245003,0.2773501,0.36980013,0.18490007,0.18490007,0.18490007,0.09245003,0.18490007,0.18490007,0.18490007,0.18490007,0.09245003
